/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=403, top_10p_weight=0.8897, time=20.8
iter=404, top_10p_weight=0.8584, time=21.5
iter=405, top_10p_weight=0.6963, time=21.6
iter=406, top_10p_weight=0.8059, time=21.1
iter=407, top_10p_weight=0.8149, time=21.0
iter=408, top_10p_weight=0.7331, time=20.5
iter=409, top_10p_weight=0.7946, time=21.0
iter=410, top_10p_weight=0.6894, time=21.3
iter=411, top_10p_weight=0.7391, time=20.9
iter=412, top_10p_weight=0.8544, time=21.6
iter=413, top_10p_weight=0.8724, time=21.5
iter=414, top_10p_weight=0.7565, time=21.6
iter=415, top_10p_weight=0.9537, time=21.1
iter=416, top_10p_weight=0.9175, time=21.9
iter=417, top_10p_weight=0.8792, time=21.1
iter=418, top_10p_weight=0.8924, time=21.8
iter=419, top_10p_weight=0.9212, time=22.0
iter=420, top_10p_weight=0.9771, time=23.6
iter=421, top_10p_weight=0.9152, time=23.1
iter=422, top_10p_weight=0.973, time=23.8
iter=423, top_10p_weight=0.9165, time=22.5
iter=424, top_10p_weight=0.9036, time=23.4
iter=425, top_10p_weight=0.9234, time=22.9
iter=426, top_10p_weight=0.9745, time=23.4
iter=427, top_10p_weight=0.9555, time=24.5
iter=428, top_10p_weight=0.9125, time=24.1
iter=429, top_10p_weight=0.9811, time=23.2
iter=430, top_10p_weight=0.9946, time=22.8
iter=431, top_10p_weight=0.9643, time=23.6
iter=432, top_10p_weight=1.0, time=23.7
iter=433, top_10p_weight=1.0, time=22.9
iter=434, top_10p_weight=1.0, time=22.3
iter=435, top_10p_weight=0.9623, time=22.5
iter=436, top_10p_weight=1.0, time=22.8
iter=437, top_10p_weight=0.8929, time=22.9
iter=438, top_10p_weight=0.9805, time=23.5
iter=439, top_10p_weight=0.9994, time=23.2
iter=440, top_10p_weight=0.916, time=22.2
iter=441, top_10p_weight=0.9105, time=22.6
iter=442, top_10p_weight=0.8961, time=23.7
iter=443, top_10p_weight=0.9395, time=23.8
iter=444, top_10p_weight=0.9344, time=24.1
iter=445, top_10p_weight=0.7897, time=25.8
iter=446, top_10p_weight=0.8828, time=24.9
iter=447, top_10p_weight=0.9006, time=25.4
iter=448, top_10p_weight=0.9228, time=25.0
iter=449, top_10p_weight=0.9131, time=27.1
iter=450, top_10p_weight=0.8733, time=25.3
iter=451, top_10p_weight=0.8023, time=25.9
iter=452, top_10p_weight=0.674, time=25.8
iter=453, top_10p_weight=0.629, time=27.9
iter=454, top_10p_weight=0.6271, time=25.9
iter=455, top_10p_weight=0.5911, time=24.4
iter=456, top_10p_weight=0.7665, time=25.4
iter=457, top_10p_weight=0.7251, time=24.3
iter=458, top_10p_weight=0.744, time=24.7
iter=459, top_10p_weight=0.8546, time=25.2
iter=460, top_10p_weight=0.7053, time=27.1
